Objekt_ID,lat,long,Monat,Jahr,Forschungsfokus,Bild,Bildbeschreibung,Format,Zustand,Status,Richtung,Sprachvariation,Sprachen,Blick
01_01,47.66135322,9.174042486,März,2023,politische Teilhabe,https://github.com/SusanReichts/LLKarten/blob/main/images/01_01.png,"Sichtbar: oh o [Mohrenapotheke], Metallbuchstaben fast vollständig abgebaut, Spur ist noch zu sehen. ",Schild,Geist,anerkannt,bottom-up,monolingual - deutsch,Deutsch,oberhalb
01_02,47.66056822,9.173733756,März,2021,Klimadiskurs,https://github.com/SusanReichts/LLKarten/blob/main/images/01_02.png,"Take action! Hier wächst was!, urban gardening",mixed media,aktiv,transgressiv,bottom-up,multilingual,"Englisch, Deutsch",Augenhöhe
01_03,47.66818802,9.174048235,März,2022,politische Teilhabe,https://github.com/SusanReichts/LLKarten/blob/main/images/01_03.png,"HELP (Ukraineflaggen), zur Seeseite",mixed media,aktiv,transgressiv,bottom-up,monolingual - andere Sprache,Englisch,unterhalb
01_04,47.66617969,9.178827593,März,2022,politische Teilhabe,https://github.com/SusanReichts/LLKarten/blob/main/images/01_04.png,"LEAVE NO ONE BEHIND, zur Seeseite",Handschrift,aktiv,transgressiv,bottom-up,monolingual - andere Sprache,Englisch,unterhalb
01_05,47.66982152,9.175227725,März,2022,Klimadiskurs,https://github.com/SusanReichts/LLKarten/blob/main/images/01_05.png,[Datum & Zeit] Hier Klimastreik,Handschrift,aktiv,transgressiv,bottom-up,monolingual - deutsch,Deutsch,unterhalb
01_06,47.67464284,9.171336948,März,2022,Dialekt,https://github.com/SusanReichts/LLKarten/blob/main/images/01_06.png,Schnupfen oder dr Schnuuderi - die günstigste Versicherung für beides,Plakat,aktiv,authorisiert,bottom-up,monolingual - deutsch,"Schweizerdeutsch, Standard Deutsch",oberhalb
01_07,47.66246638,9.175153861,Februar,2023,Dialekt,https://github.com/SusanReichts/LLKarten/blob/main/images/01_07.png,"Unsre Magd hot Fischle butzt untere alte Eiche 
s'ischere eins in Schlitzle gschlupft 
Etzt ka se nemme seiche
Zu de Gumper isch se gange 
Die hond des Fischle gfange Und eins-zwei-drei war's Schlitzle wieder frei. 
Ho Narro!
Laugelegumperzunft Konstanz e.V., Angebracht zur Fasnacht",Plakat,aktiv,anerkannt,bottom-up,monolingual - deutsch,Alemannisch,Augenhöhe
01_08,47.66767437,9.179351265,Dezember,2022,feministischer Diskurs,https://github.com/SusanReichts/LLKarten/blob/main/images/01_08.png,Sexualisierte Gewalt wird als Kriegswaffe genutzt. #16daysofactivism,Handschrift,aktiv,transgressiv,bottom-up,multilingual,"Deutsch, Englisch",unterhalb
01_09,47.6789896,9.157336755,Mai,2023,politische Teilhabe,https://github.com/SusanReichts/LLKarten/blob/main/images/01_09.png,Let's share our dreams under a commun[...],Handschrift,aktiv,transgressiv,bottom-up,monolingual - andere Sprache,Englisch,Augenhöhe
01_10,47.67778584,9.161493218,Mai,2023,feministischer Diskurs,https://github.com/SusanReichts/LLKarten/blob/main/images/01_10.png,Fiht [sic!] Homophobia Sexism,Handschrift,aktiv,transgressiv,bottom-up,monolingual - andere Sprache,Englisch,Augenhöhe
